Validation_Set,Threshold,Strategy,Net_Benefit
MIMIC-IV temporal,0.43,XGBoost,0.118497488534615
MIMIC-IV temporal,0.43,Treat all,-0.182208633617238
MIMIC-IV temporal,0.43,Treat none,0
MIMIC-IV temporal,0.44,XGBoost,0.116360403082395
MIMIC-IV temporal,0.44,Treat all,-0.203319502074689
MIMIC-IV temporal,0.44,Treat none,0
MIMIC-IV temporal,0.45,XGBoost,0.110750660128254
MIMIC-IV temporal,0.45,Treat all,-0.225198038476047
MIMIC-IV temporal,0.45,Treat none,0
MIMIC-IV temporal,0.46,XGBoost,0.108529276164131
MIMIC-IV temporal,0.46,Treat all,-0.247886891040418
MIMIC-IV temporal,0.46,Treat none,0
MIMIC-IV temporal,0.47,XGBoost,0.104626947467314
MIMIC-IV temporal,0.47,Treat all,-0.271431926720426
MIMIC-IV temporal,0.47,Treat none,0
MIMIC-IV temporal,0.48,XGBoost,0.101691669326524
MIMIC-IV temporal,0.48,Treat all,-0.295882540695819
MIMIC-IV temporal,0.48,Treat none,0
MIMIC-IV temporal,0.49,XGBoost,0.0997965991375803
MIMIC-IV temporal,0.49,Treat all,-0.32129200227809
MIMIC-IV temporal,0.49,Treat none,0
MIMIC-IV temporal,0.5,XGBoost,0.0987551867219917
MIMIC-IV temporal,0.5,Treat all,-0.347717842323652
MIMIC-IV temporal,0.5,Treat none,0
MIMIC-IV temporal,0.51,XGBoost,0.0961470065204505
MIMIC-IV temporal,0.51,Treat all,-0.375222288085359
MIMIC-IV temporal,0.51,Treat none,0
MIMIC-IV temporal,0.52,XGBoost,0.0955048409405256
MIMIC-IV temporal,0.52,Treat all,-0.40387275242047
MIMIC-IV temporal,0.52,Treat none,0
MIMIC-IV temporal,0.53,XGBoost,0.0901032930166858
MIMIC-IV temporal,0.53,Treat all,-0.433742385450693
MIMIC-IV temporal,0.53,Treat none,0
MIMIC-IV temporal,0.54,XGBoost,0.0853689337903662
MIMIC-IV temporal,0.54,Treat all,-0.464910698177882
MIMIC-IV temporal,0.54,Treat none,0
MIMIC-IV temporal,0.55,XGBoost,0.077731673582296
MIMIC-IV temporal,0.55,Treat all,-0.497464269248502
MIMIC-IV temporal,0.55,Treat none,0
MIMIC-IV temporal,0.56,XGBoost,0.0742361373066767
MIMIC-IV temporal,0.56,Treat all,-0.531497548095059
MIMIC-IV temporal,0.56,Treat none,0
MIMIC-IV temporal,0.57,XGBoost,0.066756730676445
MIMIC-IV temporal,0.57,Treat all,-0.567113770143781
MIMIC-IV temporal,0.57,Treat none,0
MIMIC-IV temporal,0.58,XGBoost,0.067061845485082
MIMIC-IV temporal,0.58,Treat all,-0.604426002766252
MIMIC-IV temporal,0.58,Treat none,0
MIMIC-IV temporal,0.59,XGBoost,0.0666936544884121
MIMIC-IV temporal,0.59,Treat all,-0.643558344297136
MIMIC-IV temporal,0.59,Treat none,0
MIMIC-IV temporal,0.6,XGBoost,0.0639004149377593
MIMIC-IV temporal,0.6,Treat all,-0.684647302904565
MIMIC-IV temporal,0.6,Treat none,0
MIMIC-IV temporal,0.61,XGBoost,0.0540908607298648
MIMIC-IV temporal,0.61,Treat all,-0.727843387594426
MIMIC-IV temporal,0.61,Treat none,0
MIMIC-IV temporal,0.62,XGBoost,0.0496614981436995
MIMIC-IV temporal,0.62,Treat all,-0.773312950425858
MIMIC-IV temporal,0.62,Treat none,0
MIMIC-IV temporal,0.63,XGBoost,0.0477963440619042
MIMIC-IV temporal,0.63,Treat all,-0.821240327464394
MIMIC-IV temporal,0.63,Treat none,0
MIMIC-IV temporal,0.64,XGBoost,0.0473029045643154
MIMIC-IV temporal,0.64,Treat all,-0.871830336560627
MIMIC-IV temporal,0.64,Treat none,0
MIMIC-IV temporal,0.65,XGBoost,0.0469472436277415
MIMIC-IV temporal,0.65,Treat all,-0.925311203319502
MIMIC-IV temporal,0.65,Treat none,0
MIMIC-IV temporal,0.66,XGBoost,0.043739321454723
MIMIC-IV temporal,0.66,Treat all,-0.981938003417135
MIMIC-IV temporal,0.66,Treat none,0
MIMIC-IV temporal,0.67,XGBoost,0.0408399346158682
MIMIC-IV temporal,0.67,Treat all,-1.04199673079341
MIMIC-IV temporal,0.67,Treat none,0
MIMIC-IV temporal,0.68,XGBoost,0.041701244813278
MIMIC-IV temporal,0.68,Treat all,-1.10580912863071
MIMIC-IV temporal,0.68,Treat none,0
MIMIC-IV temporal,0.69,XGBoost,0.042082719850087
MIMIC-IV temporal,0.69,Treat all,-1.17373845536073
MIMIC-IV temporal,0.69,Treat none,0
MIMIC-IV temporal,0.7,XGBoost,0.0439834024896265
MIMIC-IV temporal,0.7,Treat all,-1.24619640387275
MIMIC-IV temporal,0.7,Treat none,0
MIMIC-IV temporal,0.71,XGBoost,0.040434969237373
