Model,Validation_Set,Metric,Estimate,Lower,Upper
XGBoost,NWICU,MCE,0.202250579372048,,
XGBoost,NWICU,Sensitivity,0.823170731707317,,
XGBoost,NWICU,Specificity,0.712788259958071,,
XGBoost,NWICU,PPV,0.496323529411765,,
XGBoost,NWICU,NPV,0.921409214092141,,
XGBoost,NWICU,Accuracy,0.741029641185647,,
XGBoost,NWICU,F1,0.619266055045872,,
XGBoost,NWICU,MCC,0.473167644703196,,
XGBoost,eICU,AUROC,0.86192981330596,0.84588533536053,0.878029522616444
XGBoost,eICU,AUPRC,0.731060780096143,0.693819816691603,0.769110727222306
XGBoost,eICU,Calibration_Intercept,-0.793083782701322,,
XGBoost,eICU,Calibration_Slope,0.96267363814404,,
XGBoost,eICU,Brier,0.153031199224014,0.143299223620707,0.161946803792011
XGBoost,eICU,ECE,0.111142262242031,,
XGBoost,eICU,MCE,0.218353209014122,,
XGBoost,eICU,Sensitivity,0.890909090909091,,
XGBoost,eICU,Specificity,0.645024700070572,,
XGBoost,eICU,PPV,0.538955087076077,,
XGBoost,eICU,NPV,0.926977687626775,,
XGBoost,eICU,Accuracy,0.723158401540684,,
XGBoost,eICU,F1,0.671616219303255,,
XGBoost,eICU,MCC,0.499709033626742,,
