Outer_Fold,Feature,Boruta,LASSO,Selected,Forced,Fallback,Lambda_1se
9,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0163320076660596
9,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0163320076660596
9,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0163320076660596
10,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0136250066848424
10,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,OASIS,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Lung_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,GI_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Heart_Rate,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Resp_Rate,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0136250066848424
10,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
10,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0136250066848424
